alpha, CL
   0.000000,    0.000000
   1.000000,    0.049169
   2.000000,    0.098338
   3.000000,    0.147506
   4.000000,    0.196675
   5.000000,    0.245844
   6.000000,    0.295013
   7.000000,    0.344182
   8.000000,    0.393350
   9.000000,    0.442519
  10.000000,    0.491688
  11.000000,    0.540857
  12.000000,    0.590026
  13.000000,    0.639194
  14.000000,    0.688363
  15.000000,    0.737636
  16.000000,    0.787391
  17.000000,    0.837904
  18.000000,    0.889260
  19.000000,    0.941357
  20.000000,    0.993908
  21.000000,    1.046433
  22.000000,    1.098269
  23.000000,    1.148561
  24.000000,    1.196270
  25.000000,    1.240165
  26.000000,    1.278831
  27.000000,    1.310661
  28.000000,    1.333864
  29.000000,    1.346459
  30.000000,    1.346277
