Mach, Altitude
   0.182826,    0.000000
   0.183914,  328.083990
   0.185011,  656.167979
   0.186117,  984.251969
   0.187233, 1312.335958
   0.188357, 1640.419948
   0.189491, 1968.503937
   0.190634, 2296.587927
   0.191787, 2624.671916
   0.192949, 2952.755906
   0.194121, 3280.839895
   0.195303, 3608.923885
   0.196495, 3937.007874
   0.197697, 4265.091864
   0.198909, 4593.175853
   0.200131, 4921.259843
   0.201363, 5249.343832
   0.202606, 5577.427822
   0.203860, 5905.511811
   0.205124, 6233.595801
   0.206399, 6561.679790
   0.207685, 6889.763780
   0.208982, 7217.847769
   0.210290, 7545.931759
   0.211610, 7874.015748
   0.212941, 8202.099738
   0.214283, 8530.183727
   0.215638, 8858.267717
   0.217003, 9186.351706
   0.218381, 9514.435696
   0.219771, 9842.519685
   0.221173, 10170.603675
   0.222588, 10498.687664
   0.224015, 10826.771654
   0.225454, 11154.855643
   0.226907, 11482.939633
   0.228372, 11811.023622
   0.229850, 12139.107612
   0.231342, 12467.191601
   0.232846, 12795.275591
   0.234365, 13123.359580
   0.235897, 13451.443570
   0.237442, 13779.527559
   0.239002, 14107.611549
   0.240576, 14435.695538
   0.242164, 14763.779528
   0.243767, 15091.863517
   0.245384, 15419.947507
   0.247016, 15748.031496
   0.248663, 16076.115486
   0.250325, 16404.199475
   0.252003, 16732.283465
   0.253696, 17060.367454
   0.255404, 17388.451444
   0.257129, 17716.535433
   0.258870, 18044.619423
   0.260626, 18372.703412
   0.262400, 18700.787402
   0.264190, 19028.871391
   0.265996, 19356.955381
   0.267820, 19685.039370
   0.269661, 20013.123360
   0.271520, 20341.207349
   0.273396, 20669.291339
   0.275290, 20997.375328
   0.277202, 21325.459318
   0.279133, 21653.543307
   0.281082, 21981.627297
   0.283050, 22309.711286
   0.285037, 22637.795276
   0.287043, 22965.879265
   0.289069, 23293.963255
   0.291114, 23622.047244
   0.293179, 23950.131234
   0.295265, 24278.215223
   0.297371, 24606.299213
   0.299497, 24934.383202
   0.301645, 25262.467192
   0.303814, 25590.551181
   0.306004, 25918.635171
   0.308217, 26246.719160
   0.310451, 26574.803150
   0.312708, 26902.887139
   0.314987, 27230.971129
   0.317289, 27559.055118
   0.319615, 27887.139108
   0.321963, 28215.223097
   0.328394, 28543.307087
   0.336168, 28871.391076
   0.345271, 29199.475066
   0.473443, 29527.559055
   0.479574, 29199.475066
   0.484435, 28871.391076
   0.488687, 28543.307087
   0.492321, 28215.223097
   0.495330, 27887.139108
   0.498389, 27559.055118
   0.500811, 27230.971129
   0.503278, 26902.887139
   0.505098, 26574.803150
   0.506265, 26246.719160
   0.508159, 25918.635171
   0.509394, 25590.551181
   0.509963, 25262.467192
   0.511261, 24934.383202
   0.511887, 24606.299213
   0.512540, 24278.215223
   0.513220, 23950.131234
   0.513927, 23622.047244
   0.514659, 23293.963255
   0.514704, 22965.879265
   0.514770, 22637.795276
   0.515574, 22309.711286
   0.515684, 21981.627297
   0.515814, 21653.543307
   0.515241, 21325.459318
   0.515409, 20997.375328
   0.515597, 20669.291339
   0.515076, 20341.207349
   0.515301, 20013.123360
   0.514812, 19685.039370
   0.514338, 19356.955381
   0.513142, 19028.871391
   0.512696, 18700.787402
   0.512265, 18372.703412
   0.511848, 18044.619423
   0.510702, 17716.535433
   0.510311, 17388.451444
   0.509934, 17060.367454
   0.508823, 16732.283465
   0.508471, 16404.199475
   0.507382, 16076.115486
   0.506302, 15748.031496
   0.505987, 15419.947507
   0.504928, 15091.863517
   0.503879, 14763.779528
   0.502840, 14435.695538
   0.501809, 14107.611549
   0.500788, 13779.527559
   0.499776, 13451.443570
   0.498773, 13123.359580
   0.497779, 12795.275591
   0.496794, 12467.191601
   0.495818, 12139.107612
   0.494850, 11811.023622
   0.493891, 11482.939633
   0.492940, 11154.855643
   0.491998, 10826.771654
   0.491064, 10498.687664
   0.489358, 10170.603675
   0.488439, 9842.519685
   0.487527, 9514.435696
   0.485840, 9186.351706
   0.484943, 8858.267717
   0.483267, 8530.183727
   0.482385, 8202.099738
   0.480720, 7874.015748
   0.479851, 7545.931759
   0.478989, 7217.847769
   0.477342, 6889.763780
   0.476494, 6561.679790
   0.474857, 6233.595801
   0.474022, 5905.511811
   0.472395, 5577.427822
   0.471573, 5249.343832
   0.469957, 4921.259843
   0.468345, 4593.175853
   0.466737, 4265.091864
   0.465938, 3937.007874
   0.464341, 3608.923885
   0.462747, 3280.839895
   0.461158, 2952.755906
   0.459573, 2624.671916
   0.457992, 2296.587927
   0.456415, 1968.503937
   0.455655, 1640.419948
   0.454087, 1312.335958
   0.452523,  984.251969
   0.450963,  656.167979
   0.449407,  328.083990
   0.448673,    0.000000
