CLe, Neutral Point
  -0.366794,    0.314903
  -0.288853,    0.317805
  -0.210918,    0.323397
  -0.132988,    0.331279
  -0.055060,    0.333255
   0.022867,    0.334767
   0.100797,    0.344168
   0.178730,    0.353305
   0.256670,    0.330563
   0.335659,    0.369725
   0.412625,    0.440072
   0.489605,    0.447773
   0.566600,    0.454915
   0.643614,    0.461592
   0.720647,    0.468272
   0.797703,    0.474381
   0.874784,    0.479391
   0.951892,    0.483729
   1.029030,    0.487533
   1.106199,    0.490714
   1.183402,    0.493068
