CLe, Neutral Point
  -0.391844,    0.396862
  -0.312264,    0.391834
  -0.232443,    0.381746
  -0.152384,    0.374153
  -0.072088,    0.361282
   0.008444,    0.348249
   0.089210,    0.342899
   0.170211,    0.337441
   0.251445,    0.302819
   0.333993,    0.324967
   0.414668,    0.375694
   0.495578,    0.368991
   0.576724,    0.361823
   0.658108,    0.354276
   0.739730,    0.346786
   0.821593,    0.338791
   0.903696,    0.329779
   0.986044,    0.320175
   1.068636,    0.310088
   1.151475,    0.299410
   1.234562,    0.287949
   1.317902,    0.275845
   1.401495,    0.267516
   1.482959,    0.277394
   1.552796,    0.323256
   1.604026,    0.447969
   1.634648,    0.863934
   1.647702,    2.711506
   1.651244,    3.184969
