Cl, Efficiency
  -0.127282,   -5.718324
  -0.066638,   -3.120775
  -0.005938,   -0.285547
   0.054821,    2.671611
   0.115635,    5.627875
   0.176506,    8.458335
   0.237433,   11.048107
   0.298417,   13.313866
   0.359458,   15.204561
   0.420668,   16.709431
   0.481813,   17.835873
   0.543013,   18.615043
   0.604270,   19.098621
   0.665583,   19.332814
   0.726952,   19.372282
   0.788378,   19.256223
   0.849860,   19.024175
   0.911399,   18.706034
   0.972995,   18.326341
   1.034648,   17.905942
   1.096358,   17.457662
   1.158125,   16.995174
   1.219948,   16.523539
   1.281829,   16.053301
   1.343767,   15.587110
   1.398402,   15.055229
