Cl, Efficiency
  -0.117261,   -5.268110
  -0.061361,   -2.873630
  -0.005411,   -0.260222
   0.050590,    2.465428
   0.106640,    5.190126
   0.162742,    7.798764
   0.218895,   10.185483
   0.275099,   12.273518
   0.331355,   14.012830
   0.387767,   15.393151
   0.444120,   16.424844
   0.500525,   17.137291
   0.556982,   17.578382
   0.613493,   17.790790
   0.670058,   17.824819
   0.726676,   17.716478
   0.783350,   17.502040
   0.840078,   17.208899
   0.896862,   16.858289
   0.953702,   16.469206
   1.010598,   16.055240
   1.067550,   15.628626
   1.124559,   15.193997
   1.181626,   14.761083
   1.238750,   14.332226
   1.289143,   13.842490
