CL_e, CD_e
   0.096660,   -0.803589
   0.083723,   -0.697917
   0.071999,   -0.592404
   0.061529,   -0.487051
   0.052342,   -0.381858
   0.044660,   -0.276813
   0.038422,   -0.171921
   0.033545,   -0.067191
   0.030043,    0.037742
   0.027920,    0.142221
   0.027247,    0.246541
   0.028183,    0.350712
   0.030633,    0.454725
   0.034541,    0.558576
   0.039912,    0.662263
   0.046746,    0.765786
   0.055239,    0.869158
   0.065359,    0.972378
   0.077052,    1.075440
   0.090277,    1.178339
   0.105057,    1.281078
   0.121463,    1.383511
   0.139596,    1.479933
   0.159441,    1.559968
   0.180938,    1.617648
   0.204076,    1.652001
   0.228900,    1.667013
   0.255549,    1.671595
   0.276661,    1.678899
   0.287181,    1.707102
   0.297051,    1.780426
