CL_e, CD_e
   0.096723,   -0.804088
   0.084771,   -0.707968
   0.073883,   -0.611974
   0.064244,   -0.516097
   0.055665,   -0.420351
   0.048075,   -0.324745
   0.041602,   -0.229269
   0.036469,   -0.133911
   0.032469,   -0.038686
   0.029522,    0.056777
   0.027743,    0.151797
   0.027340,    0.246698
   0.028126,    0.341466
   0.030046,    0.436094
   0.033185,    0.530589
   0.037735,    0.624965
   0.043508,    0.719207
   0.050469,    0.813311
   0.058709,    0.907283
   0.068374,    1.001136
   0.079312,    1.094855
   0.091480,    1.188438
   0.105001,    1.281893
   0.119966,    1.375159
   0.136250,    1.464312
   0.153825,    1.541184
   0.172823,    1.600449
   0.193306,    1.640191
   0.215176,    1.661877
   0.238416,    1.670349
   0.262473,    1.673759
   0.278798,    1.682893
   0.288027,    1.712624
   0.296947,    1.781584
