CL_e, CD_e
   0.096680,   -0.823040
   0.083736,   -0.714810
   0.072006,   -0.606742
   0.061532,   -0.498838
   0.052342,   -0.391099
   0.044660,   -0.283512
   0.038422,   -0.176084
   0.033545,   -0.068824
   0.030043,    0.038642
   0.027920,    0.145640
   0.027247,    0.252471
   0.028183,    0.359147
   0.030630,    0.465658
   0.034533,    0.571999
   0.039899,    0.678167
   0.046728,    0.784163
   0.055216,    0.890002
   0.065330,    0.995679
   0.077017,    1.101190
   0.090236,    1.206530
   0.105010,    1.311700
   0.121409,    1.416552
   0.139535,    1.515249
   0.159364,    1.597174
   0.180834,    1.656228
   0.203937,    1.691424
   0.228724,    1.706848
   0.255307,    1.711625
   0.276352,    1.719146
   0.286746,    1.747948
   0.295645,    1.822851
