CL_e, CD_e
   0.096723,   -0.779101
   0.084771,   -0.686092
   0.073883,   -0.593184
   0.064244,   -0.500370
   0.055665,   -0.407662
   0.048075,   -0.315065
   0.041602,   -0.222575
   0.036469,   -0.130179
   0.032469,   -0.037890
   0.029522,    0.054651
   0.027746,    0.146785
   0.027355,    0.238823
   0.028153,    0.330753
   0.030084,    0.422570
   0.033231,    0.514280
   0.037788,    0.605893
   0.043581,    0.697398
   0.050562,    0.788791
   0.058823,    0.880077
   0.068508,    0.971266
   0.079467,    1.062348
   0.091666,    1.153318
   0.105223,    1.244186
   0.120225,    1.334888
   0.136545,    1.421611
   0.154162,    1.496403
   0.173221,    1.554067
   0.193766,    1.592720
   0.215795,    1.613772
