CL_e, CD_e
   0.096660,   -0.774355
   0.083723,   -0.672528
   0.071999,   -0.570855
   0.061529,   -0.469336
   0.052342,   -0.367971
   0.044660,   -0.266745
   0.038422,   -0.165664
   0.033545,   -0.064736
   0.030043,    0.036390
   0.027923,    0.137084
   0.027265,    0.237629
   0.028217,    0.338035
   0.030679,    0.438295
   0.034598,    0.538404
   0.039995,    0.638361
   0.046856,    0.738167
   0.055376,    0.837834
   0.065522,    0.937361
   0.077261,    1.036742
   0.090534,    1.135974
   0.105362,    1.235058
   0.121824,    1.333856
   0.140041,    1.426860
   0.159965,    1.504053
   0.181684,    1.559669
   0.205732,    1.592756
   0.230552,    1.607149
