CL_e, CD_e
   0.096679,   -0.822879
   0.083736,   -0.714670
   0.072006,   -0.606623
   0.061532,   -0.498740
   0.052342,   -0.391022
   0.044660,   -0.283457
   0.038422,   -0.176050
   0.033545,   -0.068810
   0.030043,    0.038634
   0.027920,    0.145611
   0.027247,    0.252422
   0.028183,    0.359077
   0.030630,    0.465567
   0.034533,    0.571887
   0.039899,    0.678035
   0.046728,    0.784010
   0.055216,    0.889828
   0.065330,    0.995485
   0.077017,    1.100976
   0.090236,    1.206295
   0.105010,    1.311445
   0.121409,    1.416277
   0.139535,    1.514955
   0.159364,    1.596864
   0.180834,    1.655906
   0.203937,    1.691096
   0.228725,    1.706517
   0.255308,    1.711291
   0.276354,    1.718811
   0.286748,    1.747608
   0.295648,    1.822497
