CL_e, CD_e
   0.096660,   -0.774252
   0.083723,   -0.672438
   0.071999,   -0.570779
   0.061529,   -0.469274
   0.052342,   -0.367922
   0.044660,   -0.266709
   0.038422,   -0.165642
   0.033545,   -0.064728
   0.030043,    0.036385
   0.027923,    0.137066
   0.027265,    0.237597
   0.028217,    0.337990
   0.030679,    0.438237
   0.034598,    0.538332
   0.039995,    0.638276
   0.046856,    0.738069
   0.055377,    0.837723
   0.065523,    0.937237
   0.077262,    1.036605
   0.090535,    1.135824
   0.105363,    1.234895
   0.121826,    1.333680
   0.140044,    1.426672
   0.159968,    1.503856
   0.181697,    1.559464
   0.205750,    1.592547
   0.230552,    1.606937
