CL_e, CD_e
   0.096660,   -0.769030
   0.083723,   -0.668039
   0.071999,   -0.567175
   0.061529,   -0.466438
   0.052342,   -0.365828
   0.044660,   -0.265334
   0.038422,   -0.164960
   0.033545,   -0.064714
   0.030043,    0.035752
   0.027926,    0.135813
   0.027271,    0.235749
   0.028224,    0.335567
   0.030687,    0.435262
   0.034618,    0.534829
   0.040018,    0.634267
   0.046882,    0.733577
   0.055405,    0.832770
   0.065571,    0.931842
   0.077316,    1.030790
   0.090592,    1.129611
   0.105437,    1.228306
   0.121931,    1.326736
   0.140153,    1.419412
   0.160267,    1.496351
   0.182677,    1.551792
