CL_e, CD_e
   0.096723,   -0.774693
   0.084771,   -0.682087
   0.073883,   -0.589604
   0.064244,   -0.497233
   0.055665,   -0.404988
   0.048075,   -0.312876
   0.041602,   -0.220888
   0.036469,   -0.129011
   0.032469,   -0.037259
   0.029522,    0.054725
   0.027748,    0.146286
   0.027358,    0.237736
   0.028158,    0.329062
   0.030090,    0.420258
   0.033239,    0.511331
   0.037808,    0.602293
   0.043605,    0.693132
   0.050591,    0.783843
   0.058855,    0.874433
   0.068547,    0.964913
   0.079527,    1.055270
   0.091738,    1.145502
   0.105302,    1.235617
   0.120312,    1.325555
   0.136672,    1.411532
   0.154324,    1.485665
   0.173391,    1.542807
   0.194620,    1.581101
   0.216865,    1.601952
