CL_e, CD_e
   0.061124,   -0.049640
   0.056887,    0.044547
   0.053329,    0.138585
   0.050347,    0.232463
   0.047882,    0.326176
   0.046026,    0.419725
   0.045020,    0.513126
   0.044712,    0.606366
   0.045038,    0.699437
   0.046013,    0.792708
   0.047703,    0.885508
   0.050173,    0.978143
   0.053442,    1.070615
   0.057446,    1.162915
   0.062186,    1.255043
   0.067657,    1.346996
   0.073944,    1.438779
   0.081121,    1.530398
   0.089115,    1.621845
   0.097868,    1.713115
   0.107432,    1.804201
   0.117844,    1.893622
   0.129188,    1.977231
   0.141434,    2.051406
   0.154534,    2.113497
   0.168460,    2.161811
   0.183306,    2.195624
   0.199147,    2.215158
   0.215994,    2.221567
   0.233755,    2.216939
   0.252487,    2.204301
   0.272303,    2.187605
   0.292653,    2.171602
