CL_e, CD_e
   0.061223,   -0.049584
   0.056621,    0.053951
   0.052682,    0.157294
   0.049590,    0.260454
   0.047172,    0.363414
   0.045498,    0.466176
   0.044657,    0.568743
   0.044801,    0.671122
   0.045784,    0.773658
   0.047598,    0.875704
   0.050289,    0.977547
   0.053883,    1.079187
   0.058308,    1.180614
   0.063656,    1.281834
   0.070059,    1.382856
   0.077479,    1.483675
   0.085842,    1.584282
   0.095199,    1.684682
   0.105525,    1.784871
   0.116853,    1.883675
   0.129189,    1.975962
   0.142625,    2.056865
   0.157195,    2.122927
   0.172873,    2.172090
   0.189657,    2.203695
   0.207535,    2.218467
   0.226553,    2.218506
   0.246742,    2.207283
   0.268212,    2.189626
   0.290954,    2.171622
