CL_e, CD_e
   0.061124,   -0.051052
   0.056887,    0.045437
   0.053329,    0.141775
   0.050347,    0.237953
   0.047882,    0.333961
   0.046026,    0.429802
   0.045020,    0.525491
   0.044712,    0.621012
   0.045038,    0.716359
   0.046013,    0.811906
   0.047703,    0.906967
   0.050173,    1.001856
   0.053442,    1.096570
   0.057446,    1.191103
   0.062186,    1.285453
   0.067654,    1.379615
   0.073933,    1.473596
   0.081104,    1.567399
   0.089090,    1.661017
   0.097835,    1.754443
   0.107390,    1.847670
   0.117794,    1.939182
   0.129129,    2.024731
   0.141359,    2.100614
   0.154436,    2.164117
   0.168335,    2.213512
   0.183151,    2.248062
   0.198956,    2.267999
   0.215735,    2.274511
   0.233429,    2.269736
   0.252052,    2.256777
   0.271691,    2.239679
   0.291001,    2.223294
   0.305233,    2.213056
