CL_e, CD_e
   0.061223,   -0.050971
   0.056621,    0.055052
   0.052682,    0.160881
   0.049590,    0.266525
   0.047172,    0.371966
   0.045498,    0.477203
   0.044657,    0.582238
   0.044801,    0.687079
   0.045784,    0.792076
   0.047598,    0.896568
   0.050289,    1.000847
   0.053883,    1.104909
   0.058308,    1.208748
   0.063655,    1.312366
   0.070050,    1.415771
   0.077462,    1.518959
   0.085817,    1.621919
   0.095165,    1.724655
   0.105482,    1.827162
   0.116800,    1.928240
   0.129126,    2.022634
   0.142540,    2.105365
   0.157084,    2.172901
   0.172732,    2.223141
   0.189479,    2.255415
   0.207302,    2.270470
   0.226246,    2.270464
   0.246334,    2.258949
   0.267665,    2.240870
   0.289312,    2.222446
   0.305255,    2.210754
