CL_e, CD_e
   0.061223,   -0.047474
   0.056621,    0.052278
   0.052682,    0.151839
   0.049590,    0.251221
   0.047172,    0.350409
   0.045498,    0.449407
   0.044672,    0.548219
   0.044832,    0.646855
   0.045831,    0.745646
   0.047662,    0.843973
   0.050387,    0.942113
   0.054016,    1.040067
   0.058477,    1.137828
   0.063867,    1.235402
   0.070322,    1.332798
   0.077794,    1.430014
   0.086210,    1.527044
   0.095659,    1.623891
   0.106079,    1.720553
   0.117641,    1.815901
   0.130880,    1.904984
   0.144383,    1.983105
