CL_e, CD_e
   0.061223,   -0.050983
   0.056621,    0.055061
   0.052682,    0.160911
   0.049590,    0.266576
   0.047172,    0.372037
   0.045498,    0.477295
   0.044657,    0.582351
   0.044801,    0.687213
   0.045784,    0.792231
   0.047598,    0.896744
   0.050289,    1.001042
   0.053883,    1.105125
   0.058308,    1.208984
   0.063655,    1.312622
   0.070050,    1.416047
   0.077462,    1.519255
   0.085817,    1.622235
   0.095165,    1.724991
   0.105482,    1.827518
   0.116800,    1.928614
   0.129126,    2.023026
   0.142540,    2.105773
   0.157084,    2.173321
   0.172732,    2.223570
   0.189479,    2.255850
   0.207302,    2.270907
   0.226245,    2.270900
   0.246333,    2.259383
   0.267662,    2.241300
   0.289308,    2.222873
   0.305251,    2.211179
