CL_e, CD_e
   0.061124,   -0.047525
   0.056887,    0.043215
   0.053329,    0.133808
   0.050347,    0.224244
   0.047882,    0.314518
   0.046026,    0.404636
   0.045026,    0.494612
   0.044733,    0.584435
   0.045072,    0.674100
   0.046062,    0.763962
   0.047767,    0.853376
   0.050268,    0.942639
   0.053569,    1.031752
   0.057606,    1.120709
   0.062377,    1.209511
   0.067896,    1.298155
   0.074230,    1.386649
   0.081455,    1.474997
   0.089506,    1.563193
   0.098343,    1.651234
   0.107991,    1.739114
   0.118607,    1.825406
   0.130781,    1.906108
   0.143202,    1.977728
