CL_e, CD_e
   0.061223,   -0.049588
   0.056621,    0.053955
   0.052682,    0.157305
   0.049590,    0.260472
   0.047172,    0.363440
   0.045498,    0.466210
   0.044657,    0.568784
   0.044801,    0.671171
   0.045784,    0.773714
   0.047598,    0.875768
   0.050289,    0.977619
   0.053883,    1.079266
   0.058308,    1.180700
   0.063656,    1.281928
   0.070059,    1.382957
   0.077478,    1.483783
   0.085842,    1.584398
   0.095199,    1.684805
   0.105525,    1.785001
   0.116852,    1.883812
   0.129189,    1.976106
   0.142624,    2.057014
   0.157194,    2.123080
   0.172872,    2.172247
   0.189656,    2.203854
   0.207534,    2.218627
   0.226551,    2.218666
   0.246740,    2.207442
   0.268202,    2.189783
   0.290954,    2.171778
