CL_e, CD_e
   0.061223,   -0.047481
   0.056621,    0.052284
   0.052682,    0.151858
   0.049590,    0.251253
   0.047172,    0.350455
   0.045498,    0.449466
   0.044672,    0.548291
   0.044832,    0.646940
   0.045831,    0.745745
   0.047662,    0.844085
   0.050387,    0.942238
   0.054016,    1.040205
   0.058476,    1.137978
   0.063866,    1.235566
   0.070320,    1.332975
   0.077792,    1.430203
   0.086208,    1.527246
   0.095656,    1.624105
   0.106076,    1.720780
   0.117626,    1.816140
   0.130858,    1.905234
   0.144383,    1.983365
