CL_e, CD_e
   0.061223,   -0.047924
   0.056621,    0.051076
   0.052682,    0.149918
   0.049590,    0.248611
   0.047172,    0.347144
   0.045509,    0.445517
   0.044685,    0.543736
   0.044847,    0.641808
   0.045847,    0.740065
   0.047697,    0.837890
   0.050426,    0.935559
   0.054057,    1.033071
   0.058531,    1.130423
   0.063940,    1.227618
   0.070398,    1.324664
   0.077885,    1.421558
   0.086345,    1.518297
   0.095798,    1.614882
   0.106614,    1.711313
   0.118643,    1.806464
