V (EAS), 
  59.121916,    0.000000
  59.121916,    1.000000
  62.939476,    1.133311
  66.757036,    1.274961
  70.574597,    1.424950
  74.392157,    1.583278
  78.209717,    1.749945
  82.027277,    1.924950
  85.844837,    2.108295
  89.662397,    2.299978
  93.479957,    2.500000
 147.110653,    2.748984
 183.888316,    2.500000
 183.888316,   -0.050137
 147.110653,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,   -1.000000
  76.268374,    0.000000
