Ground Distance, Horizontal Forces
6866.228941, -100.906173
6902.347420,  -91.815965
6938.465972, -100.085024
6974.584536,  -90.454687
7010.703167,  -99.059821
7046.821825, -103.836978
7082.940511,  -98.541698
7119.059231, -103.498119
7155.177970,  -97.677380
7191.296758, -102.720024
7227.415573,  -97.159487
7263.534445, -102.577744
7299.653335,  -96.553541
7335.772291, -102.050183
7371.891262,  -95.591483
7408.010307, -101.569679
7444.129358,  -94.701648
7480.248485, -101.133763
7516.367610,  -93.880337
7552.486813, -100.685579
7588.606008,  -93.071062
7624.725282, -100.158582
7660.844547,  -92.209139
7696.963901,  -99.263470
7733.083258,  -91.014738
7769.202699,  -98.774141
7805.322139,  -90.246825
7841.441655,  -98.389067
7877.561169,  -89.604999
7913.680750,  -98.074814
7949.800329,  -89.054967
7985.919973,  -97.580525
8000.034043,  -94.577522
