alpha, CM
  -3.862750,    0.015828
  -3.307608,    0.016086
  -2.755662,    0.016343
  -2.206604,    0.016598
  -1.660339,    0.016851
  -1.116773,    0.017104
  -0.575814,    0.017355
  -0.037367,    0.017605
   0.498662,    0.017854
   1.032365,    0.018102
   1.563835,    0.018349
   2.105066,    0.018600
   2.661761,    0.018859
   3.221506,    0.019119
   3.784394,    0.019380
   4.353502,    0.019645
   4.950702,    0.019922
   5.608450,    0.020228
   6.356867,    0.020575
   7.222768,    0.020978
   8.216878,    0.021439
   9.289229,    0.021938
  10.180020,    0.022351
  11.046417,    0.022754
  11.913449,    0.023157
  12.781057,    0.023560
  13.649180,    0.023963
  14.517759,    0.024366
  15.386730,    0.024770
  16.256032,    0.025174
