alpha, CM
  -3.862750,    0.032532
  -3.307608,    0.032790
  -2.755662,    0.033046
  -2.206604,    0.033301
  -1.660339,    0.033555
  -1.116773,    0.033808
  -0.575814,    0.034059
  -0.037367,    0.034309
   0.498662,    0.034558
   1.032365,    0.034806
   1.563835,    0.035053
   2.105066,    0.035304
   2.661761,    0.035563
   3.221506,    0.035823
   3.784394,    0.036084
   4.353502,    0.036349
   4.950702,    0.036626
   5.608450,    0.036932
   6.356867,    0.037279
   7.222768,    0.037681
   8.216878,    0.038143
   9.289229,    0.038641
  10.180020,    0.039055
  11.046417,    0.039458
  11.913449,    0.039860
  12.781057,    0.040263
  13.649180,    0.040667
  14.517759,    0.041070
  15.386730,    0.041474
  16.256032,    0.041877
