alpha, CM
  -3.862750,    0.072678
  -3.307608,    0.072936
  -2.755662,    0.073192
  -2.206604,    0.073447
  -1.660339,    0.073701
  -1.116773,    0.073953
  -0.575814,    0.074205
  -0.037367,    0.074455
   0.498662,    0.074704
   1.032365,    0.074952
   1.563835,    0.075199
   2.105066,    0.075450
   2.661761,    0.075709
   3.221506,    0.075969
   3.784394,    0.076230
   4.353502,    0.076494
   4.950702,    0.076772
   5.608450,    0.077077
   6.356867,    0.077425
   7.222768,    0.077827
   8.216878,    0.078289
   9.289229,    0.078787
  10.180020,    0.079201
  11.046417,    0.079603
  11.913449,    0.080006
  12.781057,    0.080409
  13.649180,    0.080812
  14.517759,    0.081216
  15.386730,    0.081620
  16.256032,    0.082023
