eta, Cl_add.
   0.000000,    0.220371
   0.020408,    0.222033
   0.040816,    0.225168
   0.061224,    0.228096
   0.081633,    0.230862
   0.102041,    0.233496
   0.122449,    0.236021
   0.142857,    0.238454
   0.163265,    0.240812
   0.183673,    0.243109
   0.204082,    0.245360
   0.224490,    0.247580
   0.244898,    0.249786
   0.265306,    0.252002
   0.285714,    0.254176
   0.306122,    0.255894
   0.326531,    0.256742
   0.346939,    0.257417
   0.367347,    0.258080
   0.387755,    0.258715
   0.408163,    0.259315
   0.428571,    0.259873
   0.448980,    0.260385
   0.469388,    0.260844
   0.489796,    0.261246
   0.510204,    0.261585
   0.530612,    0.261854
   0.551020,    0.262047
   0.571429,    0.262154
   0.591837,    0.262166
   0.612245,    0.262069
   0.632653,    0.261847
   0.653061,    0.261484
   0.673469,    0.260953
   0.693878,    0.260228
   0.714286,    0.259270
   0.734694,    0.258034
   0.755102,    0.256461
   0.775510,    0.254473
   0.795918,    0.251969
   0.816327,    0.248812
   0.836735,    0.244817
   0.857143,    0.239723
   0.877551,    0.233155
   0.897959,    0.224551
   0.918367,    0.213031
   0.938776,    0.197114
   0.959184,    0.174019
   0.979592,    0.137255
   1.000000,    0.000000
