eta, Cl_add.
   0.000000,    0.051756
   0.020408,    0.052147
   0.040816,    0.052883
   0.061224,    0.053571
   0.081633,    0.054220
   0.102041,    0.054839
   0.122449,    0.055432
   0.142857,    0.056003
   0.163265,    0.056557
   0.183673,    0.057096
   0.204082,    0.057625
   0.224490,    0.058146
   0.244898,    0.058665
   0.265306,    0.059185
   0.285714,    0.059696
   0.306122,    0.060099
   0.326531,    0.060298
   0.346939,    0.060457
   0.367347,    0.060613
   0.387755,    0.060762
   0.408163,    0.060903
   0.428571,    0.061034
   0.448980,    0.061154
   0.469388,    0.061262
   0.489796,    0.061356
   0.510204,    0.061436
   0.530612,    0.061499
   0.551020,    0.061544
   0.571429,    0.061569
   0.591837,    0.061572
   0.612245,    0.061549
   0.632653,    0.061497
   0.653061,    0.061412
   0.673469,    0.061287
   0.693878,    0.061117
   0.714286,    0.060892
   0.734694,    0.060602
   0.755102,    0.060232
   0.775510,    0.059765
   0.795918,    0.059177
   0.816327,    0.058436
   0.836735,    0.057498
   0.857143,    0.056301
   0.877551,    0.054759
   0.897959,    0.052738
   0.918367,    0.050032
   0.938776,    0.046294
   0.959184,    0.040870
   0.979592,    0.032236
   1.000000,    0.000000
