eta, Cl_add.
   0.000000,    0.894829
   0.020408,    0.901577
   0.040816,    0.914307
   0.061224,    0.926197
   0.081633,    0.937429
   0.102041,    0.948125
   0.122449,    0.958376
   0.142857,    0.968256
   0.163265,    0.977830
   0.183673,    0.987158
   0.204082,    0.996298
   0.224490,    1.005312
   0.244898,    1.014272
   0.265306,    1.023269
   0.285714,    1.032097
   0.306122,    1.039072
   0.326531,    1.042515
   0.346939,    1.045258
   0.367347,    1.047948
   0.387755,    1.050529
   0.408163,    1.052965
   0.428571,    1.055232
   0.448980,    1.057307
   0.469388,    1.059172
   0.489796,    1.060805
   0.510204,    1.062181
   0.530612,    1.063274
   0.551020,    1.064057
   0.571429,    1.064493
   0.591837,    1.064539
   0.612245,    1.064145
   0.632653,    1.063248
   0.653061,    1.061770
   0.673469,    1.059617
   0.693878,    1.056670
   0.714286,    1.052782
   0.734694,    1.047764
   0.755102,    1.041376
   0.775510,    1.033303
   0.795918,    1.023135
   0.816327,    1.010318
   0.836735,    0.994096
   0.857143,    0.973411
   0.877551,    0.946739
   0.897959,    0.911802
   0.918367,    0.865025
   0.938776,    0.800394
   0.959184,    0.706615
   0.979592,    0.557334
   1.000000,    0.000000
