Ground Roll Distance, Acceleration
1108.671547, 4880.988332
1134.641156, 4841.769728
1313.343861, 4571.458773
1348.562508, 4518.102422
1383.609893, 4464.980553
1418.487155, 4412.092793
1453.195427, 4359.438757
1460.116901, 4348.935961
1460.292604, 4348.669335
1460.373184, 4348.547055
1460.452956, 4348.426002
1460.501041, 4348.353033
1460.517037, 4348.328759
1460.526142, 4348.314942
1460.527435, -12101.137783
1460.528764, -12101.163010
1460.542056, -12101.415274
1460.674966, -12103.937935
1462.003790, -12129.166147
1475.263516, -12381.606611
1510.308685, -13054.972103
1532.716470, -13490.267030
1543.019134, -13690.131140
1554.120285, -13900.660730
1662.952276, -16014.597268
1820.214170, -19237.720941
1967.661648, -22456.036545
2104.840870, -25639.041018
2231.327082, -28754.934512
2346.731996, -31771.503566
2450.710960, -34657.106861
2542.969665, -37381.713871
2550.804259, -37621.595658
2555.435944, -37764.110715
2557.190680, -37815.420169
2559.005360, -37861.516123
2576.844845, -38317.870848
2652.221669, -40318.423648
2715.247165, -42107.713315
2765.703215, -43662.822588
2803.440747, -44965.785274
2828.383120, -46004.297792
2840.259959, -46743.888728
2841.171817, -46852.357736
2841.642754, -46938.441557
2841.827936, -47014.712394
2841.833128, -47023.934877
2841.834296, -47029.421299
2841.834356, -47031.070985
