"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 20/04/16, 13.02.22"


9
X,Y
0.0,0.0,
0.0223089,0.393617,
0.0435257,0.787234,
0.0753510,1.36879,
0.100936,1.84043,
0.128237,2.34043,
0.153666,2.80851,
0.182683,3.33688,
0.2,3.63475,
