eta, gamma
   0.000000,   99.208228
   0.020408,   99.091618
   0.040816,   98.779314
   0.061224,   98.321520
   0.081633,   97.741656
   0.102041,   97.055345
   0.122449,   96.274162
   0.142857,   95.407143
   0.163265,   94.461576
   0.183673,   93.443458
   0.204082,   92.357802
   0.224490,   91.208848
   0.244898,   90.000267
   0.265306,   88.735445
   0.285714,   87.418647
   0.306122,   86.051118
   0.326531,   84.628690
   0.346939,   83.159483
   0.367347,   81.650480
   0.387755,   80.106650
   0.408163,   78.532211
   0.428571,   76.930828
   0.448980,   75.305687
   0.469388,   73.659539
   0.489796,   71.994731
   0.510204,   70.313088
   0.530612,   68.616257
   0.551020,   66.905643
   0.571429,   65.182132
   0.591837,   63.446242
   0.612245,   61.698092
   0.632653,   59.937360
   0.653061,   58.163214
   0.673469,   56.374225
   0.693878,   54.568233
   0.714286,   52.742175
   0.734694,   50.891833
   0.755102,   49.011491
   0.775510,   47.093432
   0.795918,   45.127219
   0.816327,   43.098612
   0.836735,   40.987915
   0.857143,   38.767344
   0.877551,   36.396651
   0.897959,   33.815428
   0.918367,   30.928460
   0.938776,   27.574597
   0.959184,   23.447883
   0.979592,   17.820761
   1.000000,    0.000000
