eta, gamma
   0.000000,   66.576892
   0.020408,   66.497281
   0.040816,   66.283560
   0.061224,   65.969293
   0.081633,   65.570079
   0.102041,   65.096249
   0.122449,   64.555369
   0.142857,   63.953238
   0.163265,   63.294400
   0.183673,   62.582423
   0.204082,   61.820070
   0.224490,   61.009376
   0.244898,   60.151684
   0.265306,   59.247624
   0.285714,   58.297391
   0.306122,   57.295665
   0.326531,   56.233913
   0.346939,   55.125697
   0.367347,   53.981370
   0.387755,   52.807297
   0.408163,   51.608454
   0.428571,   50.388966
   0.448980,   49.152336
   0.469388,   47.901561
   0.489796,   46.639218
   0.510204,   45.367445
   0.530612,   44.088172
   0.551020,   42.803062
   0.571429,   41.513405
   0.591837,   40.220216
   0.612245,   38.924230
   0.632653,   37.625890
   0.653061,   36.325315
   0.673469,   35.022257
   0.693878,   33.716043
   0.714286,   32.405475
   0.734694,   31.088708
   0.755102,   29.763061
   0.775510,   28.424749
   0.795918,   27.068499
   0.816327,   25.686959
   0.836735,   24.269804
   0.857143,   22.802302
   0.877551,   21.262928
   0.897959,   19.619153
   0.918367,   17.819416
   0.938776,   15.776014
   0.959184,   13.321618
   0.979592,   10.056190
   1.000000,    0.000000
