eta, gamma
   0.000000,  229.733574
   0.020408,  229.468964
   0.040816,  228.762332
   0.061224,  227.730428
   0.081633,  226.427964
   0.102041,  224.891729
   0.122449,  223.149332
   0.142857,  221.222762
   0.163265,  219.130280
   0.183673,  216.887598
   0.204082,  214.508729
   0.224490,  212.006734
   0.244898,  209.394602
   0.265306,  206.686730
   0.285714,  203.903671
   0.306122,  201.072926
   0.326531,  198.207796
   0.346939,  195.294628
   0.367347,  192.326920
   0.387755,  189.304063
   0.408163,  186.227241
   0.428571,  183.098274
   0.448980,  179.919092
   0.469388,  176.691450
   0.489796,  173.416784
   0.510204,  170.095661
   0.530612,  166.728599
   0.551020,  163.315969
   0.571429,  159.857044
   0.591837,  156.350349
   0.612245,  152.793541
   0.632653,  149.183239
   0.653061,  145.514812
   0.673469,  141.782094
   0.693878,  137.976993
   0.714286,  134.088972
   0.734694,  130.104332
   0.755102,  126.005211
   0.775510,  121.768164
   0.795918,  117.362099
   0.816327,  112.745224
   0.836735,  107.860360
   0.857143,  102.627512
   0.877551,   96.931544
   0.897959,   90.600528
   0.918367,   83.364634
   0.938776,   74.768933
   0.959184,   63.952944
   0.979592,   48.879043
   1.000000,    0.000000
