Time, Fuel Flow
   0.000000,   19.949433
   0.001667,   19.951674
   0.003333,   19.953653
   0.005000,   19.955599
   0.006667,   19.957546
   0.008333,   19.959492
   0.010000,   19.961439
   0.011667,   19.963386
   0.013333,   19.965332
   0.015000,   19.967279
   0.016667,   19.969225
   0.018333,   19.971172
   0.020000,   19.972656
   0.021667,   19.974083
   0.023333,   19.975510
   0.025000,   19.976936
   0.026667,   19.978363
   0.028333,   19.979790
   0.030000,   19.981216
   0.031667,   19.982643
   0.033333,   19.984069
   0.035000,   19.985496
   0.036667,   19.986476
   0.038333,   19.987401
   0.040000,   19.988325
   0.041667,   19.989250
   0.043333,   19.990174
   0.045000,   19.991099
   0.046667,   19.992023
   0.048333,   19.992948
   0.050000,   19.993872
   0.051667,   19.994797
   0.053333,   19.995291
   0.055000,   19.995732
   0.056667,   19.996173
   0.058333,   19.996613
   0.060000,   19.997054
   0.061667,   19.997495
   0.063333,   19.997936
   0.065000,   19.998376
   0.066667,   19.998817
   0.068333,   19.999258
   0.070000,   19.999285
   0.071667,   19.999261
   0.073333,   19.999236
   0.075000,   19.999212
   0.076667,   19.999188
   0.078333,   19.999164
   0.080000,   19.999139
   0.081667,   19.999115
   0.083333,   19.999091
   0.085000,   19.999066
   0.086667,   20.000723
   0.088333,   20.002590
   0.090000,   20.004457
   0.091667,   20.006324
   0.093333,   20.008192
   0.095000,   20.010059
   0.096667,   20.011926
   0.098333,   20.013793
   0.100000,   20.015660
   0.101667,   20.017527
   0.103333,   20.019738
   0.105000,   20.021992
   0.106667,   20.024246
   0.108333,   20.026501
   0.110000,   20.028755
   0.111667,   20.031009
   0.113333,   20.033264
   0.115000,   20.035518
   0.116667,   20.037772
   0.118333,   20.040026
   0.120000,   20.041039
   0.121667,   20.041897
   0.123333,   20.042755
   0.125000,   20.043613
   0.126667,   20.044471
   0.128333,   20.045329
   0.130000,   20.046188
   0.131667,   20.047046
   0.133333,   20.047904
   0.135000,   20.048762
   0.136667,   20.048761
   0.138333,   20.048652
   0.140000,   20.048544
   0.141667,   20.048436
   0.143333,   20.048328
   0.145000,   20.048219
   0.146667,   20.048111
   0.148333,   20.048003
   0.150000,   20.047895
   0.151667,   20.047786
   0.153333,   20.046872
   0.155000,   20.045858
   0.156667,   20.044843
   0.158333,   20.043829
   0.160000,   20.042814
   0.161667,   20.041799
   0.163333,   20.040785
   0.165000,   20.039770
   0.166667,   20.038756
   0.168333,   20.037741
   0.170000,   20.035973
   0.171667,   20.034110
   0.173333,   20.032248
   0.175000,   20.030386
   0.176667,   20.028523
   0.178333,   20.026661
   0.180000,   20.024799
   0.181667,   20.022936
   0.183333,   20.021074
   0.185000,   20.019212
   0.186667,   20.023467
   0.188333,   20.028487
   0.190000,   20.033506
   0.191667,   20.038526
   0.193333,   20.043545
   0.195000,   20.048565
   0.196667,   20.053584
   0.198333,   20.058604
   0.200000,   20.063623
   0.201667,   20.068643
   0.203333,   20.072396
   0.205000,   20.075990
   0.206667,   20.079585
   0.208333,   20.083180
   0.210000,   20.086774
   0.211667,   20.090369
   0.213333,   20.093964
   0.215000,   20.097558
   0.216667,   20.101153
   0.218333,   20.104748
   0.220000,   20.106446
   0.221667,   20.107908
   0.223333,   20.109370
   0.225000,   20.110832
   0.226667,   20.112294
   0.228333,   20.113757
   0.230000,   20.115219
   0.231667,   20.116681
   0.233333,   20.118143
   0.235000,   20.119605
   0.236667,   20.119478
   0.238333,   20.119152
   0.240000,   20.118827
   0.241667,   20.118502
   0.243333,   20.118177
   0.245000,   20.117851
   0.246667,   20.117526
   0.248333,   20.117201
   0.250000,   20.116876
   0.251667,   20.116550
   0.253333,   20.114778
   0.255000,   20.112825
   0.256667,   20.110872
   0.258333,   20.108919
   0.260000,   20.106966
   0.261667,   20.105012
   0.263333,   20.103059
   0.265000,   20.101106
   0.266667,   20.099153
   0.268333,   20.097200
   0.270000,   20.093934
   0.271667,   20.090504
   0.273333,   20.087074
   0.275000,   20.083644
   0.276667,   20.080213
   0.278333,   20.076783
   0.280000,   20.073353
   0.281667,   20.069923
   0.283333,   20.066493
   0.285000,   20.063063
   0.286667,   20.058789
   0.288333,   20.054411
   0.290000,   20.050032
   0.291667,   20.045653
   0.293333,   20.041275
   0.295000,   20.036896
   0.296667,   20.032517
   0.298333,   20.028138
   0.300000,   20.023760
   0.301667,   20.019381
   0.303333,   20.023485
   0.305000,   20.028649
   0.306667,   20.033812
   0.308333,   20.038975
   0.310000,   20.044139
   0.311667,   20.049302
   0.312369,   20.051479
   0.314036,   20.055361
   0.315703,   20.059244
   0.317369,   20.063127
   0.319036,   20.066636
   0.320703,   20.069317
   0.322369,   20.071998
   0.324036,   20.074679
   0.325703,   20.077360
   0.327369,   20.080041
   0.329036,   20.082723
   0.330703,   20.085404
   0.332369,   20.088085
   0.334036,   20.090766
   0.335703,   20.092960
   0.337369,   20.094074
   0.339036,   20.095187
   0.340703,   20.096301
   0.342369,   20.097415
   0.344036,   20.098528
   0.345703,   20.099642
   0.347369,   20.100755
   0.349036,   20.101869
   0.350703,   20.102983
   0.352369,   20.103693
   0.354036,   20.103507
   0.355703,   20.103322
   0.357369,   20.103136
   0.359036,   20.102951
   0.360703,   20.102765
   0.362369,   20.102580
   0.364036,   20.102394
   0.365703,   20.102209
   0.367369,   20.102023
   0.368518,   20.101895
   0.370185,   20.101090
   0.371852,   20.100286
   0.373518,   20.099481
   0.375185,   20.098676
   0.376852,   20.097872
