CL_e, delta_e_eq
   1.298138,   -3.276408
   1.388542,   -3.260941
   1.479100,   -3.227811
   1.569811,   -3.177453
   1.660673,   -3.110300
   1.751811,   -3.016210
   1.842961,   -2.916923
   1.934260,   -2.801402
   2.025708,   -2.669885
   2.117302,   -2.522636
   2.209043,   -2.359775
   2.300929,   -2.200768
   2.392960,   -2.054798
   2.485134,   -1.901971
   2.577453,   -1.742448
   2.669915,   -1.581608
   2.762520,   -1.454552
   2.855267,   -1.412906
   2.948153,   -1.505025
   3.041175,   -1.774674
   3.134332,   -2.240491
   3.227623,   -2.821274
   3.321055,   -3.097051
   3.411896,   -3.337421
   3.492727,   -3.627907
   3.557761,   -3.999036
   3.603683,   -4.460758
   3.629661,   -5.001592
   3.637358,   -5.597325
   3.630938,   -6.181290
