eta, Cm
   0.000000,    0.240533
   0.020408,    0.232652
   0.040816,    0.225543
   0.061224,    0.218201
   0.081633,    0.210567
   0.102041,    0.202607
   0.122449,    0.194300
   0.142857,    0.185632
   0.163265,    0.176592
   0.183673,    0.167175
   0.204082,    0.157375
   0.224490,    0.147190
   0.244898,    0.136619
   0.265306,    0.125661
   0.285714,    0.114318
   0.306122,    0.102592
   0.326531,    0.090485
   0.346939,    0.078002
   0.367347,    0.065149
   0.387755,    0.051934
   0.408163,    0.038366
   0.428571,    0.024456
   0.448980,    0.010219
   0.469388,   -0.004331
   0.489796,   -0.019171
   0.510204,   -0.034279
   0.530612,   -0.049626
   0.551020,   -0.065177
   0.571429,   -0.080893
   0.591837,   -0.096726
   0.612245,   -0.112620
   0.632653,   -0.128509
   0.653061,   -0.144313
   0.673469,   -0.159940
   0.693878,   -0.175279
   0.714286,   -0.190199
   0.734694,   -0.204543
   0.755102,   -0.218125
   0.775510,   -0.230721
   0.795918,   -0.242060
   0.816327,   -0.251808
   0.836735,   -0.259557
   0.857143,   -0.264785
   0.877551,   -0.266818
   0.897959,   -0.264746
   0.918367,   -0.257275
   0.938776,   -0.242415
   0.959184,   -0.216672
   0.979592,   -0.172207
   1.000000,    0.000000
