eta, alpha_i
   0.000000,    0.604674
   0.034483,    0.611135
   0.068966,    0.613807
   0.103448,    0.615508
   0.137931,    0.616751
   0.172414,    0.617727
   0.206897,    0.618529
   0.241379,    0.619214
   0.275862,    0.619818
   0.310345,    0.620369
   0.344828,    0.620892
   0.379310,    0.621410
   0.413793,    0.621952
   0.448276,    0.622567
   0.482759,    0.623451
   0.517241,    0.624104
   0.551724,    0.624458
   0.586207,    0.625115
   0.620690,    0.625974
   0.655172,    0.627084
   0.689655,    0.628545
   0.724138,    0.630535
   0.758621,    0.633365
   0.793103,    0.637632
   0.827586,    0.644596
   0.862069,    0.657311
   0.896552,    0.684941
   0.931034,    0.767193
   0.965517,    1.340499
   1.000000,   -3.289020
