eta, alpha_i
   0.000000,    1.811871
   0.034483,    1.831185
   0.068966,    1.839172
   0.103448,    1.844257
   0.137931,    1.847973
   0.172414,    1.850888
   0.206897,    1.853287
   0.241379,    1.855333
   0.275862,    1.857138
   0.310345,    1.858786
   0.344828,    1.860349
   0.379310,    1.861896
   0.413793,    1.863516
   0.448276,    1.865356
   0.482759,    1.867997
   0.517241,    1.869947
   0.551724,    1.871008
   0.586207,    1.872970
   0.620690,    1.875538
   0.655172,    1.878854
   0.689655,    1.883222
   0.724138,    1.889167
   0.758621,    1.897624
   0.793103,    1.910377
   0.827586,    1.931185
   0.862069,    1.969173
   0.896552,    2.051699
   0.931034,    2.297194
   0.965517,    3.998275
   1.000000,   -9.541491
