eta, alpha_i
   0.000000,    0.906842
   0.034483,    0.916529
   0.068966,    0.920534
   0.103448,    0.923085
   0.137931,    0.924948
   0.172414,    0.926411
   0.206897,    0.927614
   0.241379,    0.928640
   0.275862,    0.929545
   0.310345,    0.930372
   0.344828,    0.931156
   0.379310,    0.931932
   0.413793,    0.932745
   0.448276,    0.933667
   0.482759,    0.934992
   0.517241,    0.935970
   0.551724,    0.936502
   0.586207,    0.937487
   0.620690,    0.938775
   0.655172,    0.940438
   0.689655,    0.942629
   0.724138,    0.945611
   0.758621,    0.949854
   0.793103,    0.956251
   0.827586,    0.966691
   0.862069,    0.985751
   0.896552,    1.027167
   0.931034,    1.150446
   0.965517,    2.008919
   1.000000,   -4.906773
