alpha_w, Cl
   0.000000,    0.035264
   0.005025,    0.035328
   0.010050,    0.035456
   0.015075,    0.035579
   0.020101,    0.035697
   0.025126,    0.035812
   0.030151,    0.035922
   0.035176,    0.036028
   0.040201,    0.036130
   0.045226,    0.036227
   0.050251,    0.036319
   0.055276,    0.036407
   0.060302,    0.036490
   0.065327,    0.036568
   0.070352,    0.036641
   0.075377,    0.036709
   0.080402,    0.036772
   0.085427,    0.036830
   0.090452,    0.036883
   0.095477,    0.036931
   0.100503,    0.036973
   0.105528,    0.037009
   0.110553,    0.037040
   0.115578,    0.037065
   0.120603,    0.037084
   0.125628,    0.037098
   0.130653,    0.037105
   0.135678,    0.037105
   0.140704,    0.037100
   0.145729,    0.037088
   0.150754,    0.037069
   0.155779,    0.037043
   0.160804,    0.037010
   0.165829,    0.036969
   0.170854,    0.036921
   0.175879,    0.036866
   0.180905,    0.036802
   0.185930,    0.036730
   0.190955,    0.036649
   0.195980,    0.036560
   0.201005,    0.036461
   0.206030,    0.036353
   0.211055,    0.036235
   0.216080,    0.036106
   0.221106,    0.035967
   0.226131,    0.035816
   0.231156,    0.035654
   0.236181,    0.035480
   0.241206,    0.035292
   0.246231,    0.035092
   0.251256,    0.034876
   0.256281,    0.034646
   0.261307,    0.034400
   0.266332,    0.034137
   0.271357,    0.033856
   0.276382,    0.033555
   0.281407,    0.033233
   0.286432,    0.032888
   0.291457,    0.032517
   0.296482,    0.032115
   0.301508,    0.031665
   0.306533,    0.031151
   0.311558,    0.030599
   0.316583,    0.030017
   0.321608,    0.029409
   0.326633,    0.028777
   0.331658,    0.028122
   0.336683,    0.027446
   0.341709,    0.026749
   0.346734,    0.026034
   0.351759,    0.025300
   0.356784,    0.024548
   0.361809,    0.023779
   0.366834,    0.022994
   0.371859,    0.022193
   0.376884,    0.021377
   0.381910,    0.020546
   0.386935,    0.019700
   0.391960,    0.018841
   0.396985,    0.017967
   0.402010,    0.017081
   0.407035,    0.016182
   0.412060,    0.015270
   0.417085,    0.014346
   0.422111,    0.013410
   0.427136,    0.012463
   0.432161,    0.011504
   0.437186,    0.010534
   0.442211,    0.009553
   0.447236,    0.008562
   0.452261,    0.007561
   0.457286,    0.006550
   0.462312,    0.005528
   0.467337,    0.004498
   0.472362,    0.003458
   0.477387,    0.002409
   0.482412,    0.001351
   0.487437,    0.000284
   0.492462,   -0.000791
   0.497487,   -0.001875
   0.502513,   -0.002966
   0.507538,   -0.004065
   0.512563,   -0.005172
   0.517588,   -0.006287
   0.522613,   -0.007408
   0.527638,   -0.008537
   0.532663,   -0.009672
   0.537688,   -0.010814
   0.542714,   -0.011963
   0.547739,   -0.013117
   0.552764,   -0.014278
   0.557789,   -0.015445
   0.562814,   -0.016617
   0.567839,   -0.017795
   0.572864,   -0.018978
   0.577889,   -0.020166
   0.582915,   -0.021358
   0.587940,   -0.022556
   0.592965,   -0.023757
   0.597990,   -0.024963
   0.603015,   -0.026173
   0.608040,   -0.027386
   0.613065,   -0.028603
   0.618090,   -0.029823
   0.623116,   -0.031046
   0.628141,   -0.032272
   0.633166,   -0.033500
   0.638191,   -0.034730
   0.643216,   -0.035962
   0.648241,   -0.037196
   0.653266,   -0.038431
   0.658291,   -0.039667
   0.663317,   -0.040903
   0.668342,   -0.042140
   0.673367,   -0.043377
   0.678392,   -0.044613
   0.683417,   -0.045848
   0.688442,   -0.047082
   0.693467,   -0.048315
   0.698492,   -0.049545
   0.703518,   -0.050773
   0.708543,   -0.051998
   0.713568,   -0.053219
   0.718593,   -0.054436
   0.723618,   -0.055648
   0.728643,   -0.056856
   0.733668,   -0.058057
   0.738693,   -0.059251
   0.743719,   -0.060439
   0.748744,   -0.061618
   0.753769,   -0.062788
   0.758794,   -0.063949
   0.763819,   -0.065099
   0.768844,   -0.066238
   0.773869,   -0.067364
   0.778894,   -0.068476
   0.783920,   -0.069574
   0.788945,   -0.070655
   0.793970,   -0.071719
   0.798995,   -0.072764
   0.804020,   -0.073789
   0.809045,   -0.074792
   0.814070,   -0.075771
   0.819095,   -0.076724
   0.824121,   -0.077649
   0.829146,   -0.078545
   0.834171,   -0.079407
   0.839196,   -0.080235
   0.844221,   -0.081025
   0.849246,   -0.081773
   0.854271,   -0.082477
   0.859296,   -0.083133
   0.864322,   -0.083736
   0.869347,   -0.084282
   0.874372,   -0.084767
   0.879397,   -0.085184
   0.884422,   -0.085527
   0.889447,   -0.085791
   0.894472,   -0.085967
   0.899497,   -0.086047
   0.904523,   -0.086021
   0.909548,   -0.085880
   0.914573,   -0.085610
   0.919598,   -0.085198
   0.924623,   -0.084629
   0.929648,   -0.083884
   0.934673,   -0.082942
   0.939698,   -0.081778
   0.944724,   -0.080363
   0.949749,   -0.078660
   0.954774,   -0.076627
   0.959799,   -0.074209
   0.964824,   -0.071335
   0.969849,   -0.067915
   0.974874,   -0.063819
   0.979899,   -0.058861
   0.984925,   -0.052741
   0.989950,   -0.044911
   0.994975,   -0.034069
   1.000000,    0.000000
