alpha_w, Cl
   0.000000,    1.335797
   0.005025,    1.338327
   0.010050,    1.343355
   0.015075,    1.348365
   0.020101,    1.353352
   0.025126,    1.358313
   0.030151,    1.363246
   0.035176,    1.368148
   0.040201,    1.373019
   0.045226,    1.377856
   0.050251,    1.382659
   0.055276,    1.387427
   0.060302,    1.392160
   0.065327,    1.396856
   0.070352,    1.401516
   0.075377,    1.406140
   0.080402,    1.410727
   0.085427,    1.415276
   0.090452,    1.419789
   0.095477,    1.424265
   0.100503,    1.428704
   0.105528,    1.433107
   0.110553,    1.437473
   0.115578,    1.441802
   0.120603,    1.446096
   0.125628,    1.450354
   0.130653,    1.454576
   0.135678,    1.458763
   0.140704,    1.462916
   0.145729,    1.467034
   0.150754,    1.471118
   0.155779,    1.475168
   0.160804,    1.479185
   0.165829,    1.483168
   0.170854,    1.487120
   0.175879,    1.491039
   0.180905,    1.494926
   0.185930,    1.498782
   0.190955,    1.502607
   0.195980,    1.506402
   0.201005,    1.510166
   0.206030,    1.513901
   0.211055,    1.517607
   0.216080,    1.521284
   0.221106,    1.524933
   0.226131,    1.528555
   0.231156,    1.532149
   0.236181,    1.535716
   0.241206,    1.539258
   0.246231,    1.542774
   0.251256,    1.546265
   0.256281,    1.549733
   0.261307,    1.553177
   0.266332,    1.556598
   0.271357,    1.559998
   0.276382,    1.563378
   0.281407,    1.566739
   0.286432,    1.570083
   0.291457,    1.573411
   0.296482,    1.576644
   0.301508,    1.579317
   0.306533,    1.581044
   0.311558,    1.582547
   0.316583,    1.584018
   0.321608,    1.585456
   0.326633,    1.586860
   0.331658,    1.588229
   0.336683,    1.589564
   0.341709,    1.590865
   0.346734,    1.592130
   0.351759,    1.593361
   0.356784,    1.594557
   0.361809,    1.595717
   0.366834,    1.596843
   0.371859,    1.597934
   0.376884,    1.598989
   0.381910,    1.600010
   0.386935,    1.600995
   0.391960,    1.601945
   0.396985,    1.602861
   0.402010,    1.603741
   0.407035,    1.604586
   0.412060,    1.605396
   0.417085,    1.606170
   0.422111,    1.606910
   0.427136,    1.607614
   0.432161,    1.608282
   0.437186,    1.608915
   0.442211,    1.609513
   0.447236,    1.610075
   0.452261,    1.610601
   0.457286,    1.611090
   0.462312,    1.611544
   0.467337,    1.611961
   0.472362,    1.612342
   0.477387,    1.612686
   0.482412,    1.612992
   0.487437,    1.613261
   0.492462,    1.613493
   0.497487,    1.613686
   0.502513,    1.613840
   0.507538,    1.613956
   0.512563,    1.614033
   0.517588,    1.614069
   0.522613,    1.614066
   0.527638,    1.614022
   0.532663,    1.613936
   0.537688,    1.613809
   0.542714,    1.613639
   0.547739,    1.613426
   0.552764,    1.613169
   0.557789,    1.612867
   0.562814,    1.612520
   0.567839,    1.612127
   0.572864,    1.611686
   0.577889,    1.611198
   0.582915,    1.610660
   0.587940,    1.610072
   0.592965,    1.609433
   0.597990,    1.608741
   0.603015,    1.607995
   0.608040,    1.607195
   0.613065,    1.606338
   0.618090,    1.605423
   0.623116,    1.604448
   0.628141,    1.603412
   0.633166,    1.602313
   0.638191,    1.601149
   0.643216,    1.599919
   0.648241,    1.598620
   0.653266,    1.597249
   0.658291,    1.595806
   0.663317,    1.594286
   0.668342,    1.592688
   0.673367,    1.591009
   0.678392,    1.589245
   0.683417,    1.587395
   0.688442,    1.585454
   0.693467,    1.583419
   0.698492,    1.581286
   0.703518,    1.579052
   0.708543,    1.576712
   0.713568,    1.574262
   0.718593,    1.571697
   0.723618,    1.569012
   0.728643,    1.566202
   0.733668,    1.563261
   0.738693,    1.560183
   0.743719,    1.556962
   0.748744,    1.553591
   0.753769,    1.550062
   0.758794,    1.546367
   0.763819,    1.542499
   0.768844,    1.538447
   0.773869,    1.534204
   0.778894,    1.529757
   0.783920,    1.525096
   0.788945,    1.520209
   0.793970,    1.515083
   0.798995,    1.509704
   0.804020,    1.504058
   0.809045,    1.498128
   0.814070,    1.491896
   0.819095,    1.485344
   0.824121,    1.478451
   0.829146,    1.471195
   0.834171,    1.463551
   0.839196,    1.455494
   0.844221,    1.446994
   0.849246,    1.438020
   0.854271,    1.428538
   0.859296,    1.418509
   0.864322,    1.407893
   0.869347,    1.396642
   0.874372,    1.384707
   0.879397,    1.372032
   0.884422,    1.358553
   0.889447,    1.344202
   0.894472,    1.328900
   0.899497,    1.312561
   0.904523,    1.295085
   0.909548,    1.276361
   0.914573,    1.256263
   0.919598,    1.234644
   0.924623,    1.211339
   0.929648,    1.186151
   0.934673,    1.158856
   0.939698,    1.129183
   0.944724,    1.096813
   0.949749,    1.061357
   0.954774,    1.022336
   0.959799,    0.979148
   0.964824,    0.931016
   0.969849,    0.876903
   0.974874,    0.815364
   0.979899,    0.744257
   0.984925,    0.660124
   0.989950,    0.556554
   0.994975,    0.418200
   1.000000,    0.000000
