Mach, Specific Range
   0.436430,    0.084297
   0.440194,    0.085240
   0.443959,    0.086236
   0.447723,    0.087247
   0.451488,    0.088193
   0.455252,    0.089117
   0.459016,    0.090051
   0.462781,    0.090983
   0.466545,    0.091822
   0.470309,    0.092669
   0.474074,    0.093523
   0.477838,    0.094363
   0.481603,    0.095113
   0.485367,    0.095867
   0.489131,    0.096627
   0.492896,    0.097391
   0.496660,    0.098055
   0.500425,    0.098696
   0.504189,    0.099278
   0.507953,    0.099861
   0.511718,    0.100440
   0.515482,    0.100905
   0.519246,    0.101369
   0.523011,    0.101831
   0.526775,    0.102293
   0.530540,    0.102754
   0.534304,    0.103136
   0.538068,    0.103474
   0.541833,    0.103810
   0.545597,    0.104143
   0.549362,    0.104473
   0.553126,    0.104801
   0.556890,    0.105062
   0.560655,    0.105267
   0.564419,    0.105468
   0.568183,    0.105666
   0.571948,    0.105860
   0.575712,    0.106050
   0.579477,    0.106237
   0.583241,    0.106357
   0.587005,    0.106424
   0.590770,    0.106487
   0.594534,    0.106547
   0.598299,    0.106602
   0.602063,    0.106642
   0.605827,    0.106668
   0.609592,    0.106691
   0.613356,    0.106659
   0.617121,    0.106570
   0.620885,    0.106477
   0.624649,    0.106381
   0.628414,    0.106281
   0.632178,    0.106179
   0.635942,    0.106073
   0.639707,    0.105963
   0.643471,    0.105851
   0.647236,    0.105735
   0.651000,    0.105526
   0.654764,    0.105311
   0.658529,    0.105093
   0.662293,    0.104872
   0.666058,    0.104650
   0.669822,    0.104425
   0.673586,    0.104198
   0.677351,    0.103969
   0.681115,    0.103738
   0.684879,    0.103505
   0.688644,    0.103270
   0.692408,    0.102990
   0.696173,    0.102669
   0.699937,    0.102348
   0.703701,    0.102011
   0.707466,    0.101673
   0.711230,    0.101331
   0.714995,    0.100986
   0.718759,    0.100635
   0.722523,    0.100278
   0.726288,    0.099913
   0.730052,    0.099537
   0.733816,    0.099150
   0.737581,    0.098748
   0.741345,    0.098320
   0.745110,    0.097827
   0.748874,    0.097274
   0.752638,    0.096697
   0.756403,    0.096093
   0.760167,    0.095459
   0.763932,    0.094792
   0.767696,    0.094087
   0.771460,    0.093342
   0.775225,    0.092553
   0.778989,    0.091717
   0.782753,    0.103918
   0.786518,    0.127881
   0.790282,    0.166789
   0.794047,    0.241187
   0.797811,    0.441184
   0.801575,    0.418790
   0.805340,    0.186044
   0.809104,    0.118505
