alpha body, CL
  -4.000000,    0.693328
  -3.172414,    0.784489
  -2.344828,    0.875587
  -1.517241,    0.966629
  -0.689655,    1.057615
   0.137931,    1.148548
   0.965517,    1.239430
   1.793103,    1.330262
   2.620690,    1.421047
   3.448276,    1.511786
   4.275862,    1.602482
   5.103448,    1.693369
   5.931034,    1.784560
   6.758621,    1.875812
   7.586207,    1.966881
   8.413793,    2.052930
   9.241379,    2.126828
  10.068966,    2.184269
  10.896552,    2.223714
  11.724138,    2.246377
  12.551724,    2.255968
  13.379310,    2.257820
  14.206897,    2.255950
  15.034483,    2.265451
  15.862069,    2.301674
  16.689655,    2.382194
  17.517241,    2.527287
  18.344828,    2.759929
  19.172414,    3.105792
  20.000000,    3.593252
