alpha body, CL
  -4.000000,    0.748559
  -3.172414,    0.839720
  -2.344828,    0.930818
  -1.517241,    1.021860
  -0.689655,    1.112846
   0.137931,    1.203779
   0.965517,    1.294661
   1.793103,    1.385493
   2.620690,    1.476278
   3.448276,    1.567017
   4.275862,    1.657713
   5.103448,    1.748600
   5.931034,    1.839791
   6.758621,    1.931043
   7.586207,    2.022112
   8.413793,    2.108161
   9.241379,    2.182059
  10.068966,    2.239500
  10.896552,    2.278945
  11.724138,    2.301608
  12.551724,    2.311199
  13.379310,    2.313051
  14.206897,    2.311181
  15.034483,    2.320682
  15.862069,    2.356905
  16.689655,    2.437425
  17.517241,    2.582518
  18.344828,    2.815160
  19.172414,    3.161023
  20.000000,    3.648483
