alpha body, CL
  -4.000000,    0.930390
  -3.172414,    1.021551
  -2.344828,    1.112649
  -1.517241,    1.203690
  -0.689655,    1.294676
   0.137931,    1.385609
   0.965517,    1.476491
   1.793103,    1.567324
   2.620690,    1.658108
   3.448276,    1.748848
   4.275862,    1.839543
   5.103448,    1.930430
   5.931034,    2.021621
   6.758621,    2.112873
   7.586207,    2.203942
   8.413793,    2.289991
   9.241379,    2.363890
  10.068966,    2.421330
  10.896552,    2.460776
  11.724138,    2.483438
  12.551724,    2.493029
  13.379310,    2.494881
  14.206897,    2.493012
  15.034483,    2.502512
  15.862069,    2.538735
  16.689655,    2.619255
  17.517241,    2.764349
  18.344828,    2.996990
  19.172414,    3.342853
  20.000000,    3.830313
