alpha body, CL
  -4.000000,    0.645786
  -3.172414,    0.736947
  -2.344828,    0.828045
  -1.517241,    0.919087
  -0.689655,    1.010073
   0.137931,    1.101006
   0.965517,    1.191888
   1.793103,    1.282720
   2.620690,    1.373505
   3.448276,    1.464244
   4.275862,    1.554939
   5.103448,    1.645827
   5.931034,    1.737018
   6.758621,    1.828270
   7.586207,    1.919339
   8.413793,    2.005388
   9.241379,    2.079286
  10.068966,    2.136727
  10.896552,    2.176172
  11.724138,    2.198835
  12.551724,    2.208426
  13.379310,    2.210278
  14.206897,    2.208408
  15.034483,    2.217909
  15.862069,    2.254132
  16.689655,    2.334652
  17.517241,    2.479745
  18.344828,    2.712387
  19.172414,    3.058250
  20.000000,    3.545710
