alpha body, CL
  -4.000000,    0.700270
  -3.172414,    0.791431
  -2.344828,    0.882529
  -1.517241,    0.973570
  -0.689655,    1.064556
   0.137931,    1.155489
   0.965517,    1.246371
   1.793103,    1.337204
   2.620690,    1.427989
   3.448276,    1.518728
   4.275862,    1.609423
   5.103448,    1.700310
   5.931034,    1.791501
   6.758621,    1.882753
   7.586207,    1.973822
   8.413793,    2.059871
   9.241379,    2.133770
  10.068966,    2.191210
  10.896552,    2.230656
  11.724138,    2.253318
  12.551724,    2.262909
  13.379310,    2.264761
  14.206897,    2.262892
  15.034483,    2.272392
  15.862069,    2.308615
  16.689655,    2.389135
  17.517241,    2.534229
  18.344828,    2.766870
  19.172414,    3.112733
  20.000000,    3.600193
