alpha body, CL
  -4.000000,    0.869134
  -3.172414,    0.960295
  -2.344828,    1.051393
  -1.517241,    1.142434
  -0.689655,    1.233420
   0.137931,    1.324353
   0.965517,    1.415235
   1.793103,    1.506068
   2.620690,    1.596853
   3.448276,    1.687592
   4.275862,    1.778287
   5.103448,    1.869174
   5.931034,    1.960366
   6.758621,    2.051617
   7.586207,    2.142686
   8.413793,    2.228735
   9.241379,    2.302634
  10.068966,    2.360074
  10.896552,    2.399520
  11.724138,    2.422182
  12.551724,    2.431773
  13.379310,    2.433625
  14.206897,    2.431756
  15.034483,    2.441256
  15.862069,    2.477479
  16.689655,    2.558000
  17.517241,    2.703093
  18.344828,    2.935734
  19.172414,    3.281598
  20.000000,    3.769057
