alpha body, CL
  -4.000000,    0.683011
  -3.172414,    0.774172
  -2.344828,    0.865270
  -1.517241,    0.956311
  -0.689655,    1.047297
   0.137931,    1.138231
   0.965517,    1.229113
   1.793103,    1.319945
   2.620690,    1.410730
   3.448276,    1.501469
   4.275862,    1.592164
   5.103448,    1.683051
   5.931034,    1.774243
   6.758621,    1.865494
   7.586207,    1.956563
   8.413793,    2.042613
   9.241379,    2.116511
  10.068966,    2.173952
  10.896552,    2.213397
  11.724138,    2.236059
  12.551724,    2.245651
  13.379310,    2.247502
  14.206897,    2.245633
  15.034483,    2.255134
  15.862069,    2.291356
  16.689655,    2.371877
  17.517241,    2.516970
  18.344828,    2.749611
  19.172414,    3.095475
  20.000000,    3.582934
