alpha body, CL
  -4.000000,    0.807878
  -3.172414,    0.899039
  -2.344828,    0.990137
  -1.517241,    1.081178
  -0.689655,    1.172164
   0.137931,    1.263098
   0.965517,    1.353980
   1.793103,    1.444812
   2.620690,    1.535597
   3.448276,    1.626336
   4.275862,    1.717031
   5.103448,    1.807918
   5.931034,    1.899110
   6.758621,    1.990361
   7.586207,    2.081430
   8.413793,    2.167480
   9.241379,    2.241378
  10.068966,    2.298819
  10.896552,    2.338264
  11.724138,    2.360926
  12.551724,    2.370518
  13.379310,    2.372369
  14.206897,    2.370500
  15.034483,    2.380001
  15.862069,    2.416223
  16.689655,    2.496744
  17.517241,    2.641837
  18.344828,    2.874478
  19.172414,    3.220342
  20.000000,    3.707801
