Vfailure/VsTO, VRot/VsTO
   0.888188,    1.134655
   0.888889,    1.134667
   0.889590,    1.134679
   0.890290,    1.134691
   0.890991,    1.134703
   0.891692,    1.134715
   0.892392,    1.134727
   0.893093,    1.134739
   0.893794,    1.134751
   0.894494,    1.134763
   0.895195,    1.134775
   0.895896,    1.134787
   0.896597,    1.134799
   0.897297,    1.134811
   0.897998,    1.134823
   0.898699,    1.134835
   0.899399,    1.134847
   0.900100,    1.134859
   0.900801,    1.134871
   0.901502,    1.134883
   0.902202,    1.134895
   0.902903,    1.134907
   0.903604,    1.134919
   0.904304,    1.134931
   0.905005,    1.134943
   0.905706,    1.134955
   0.906406,    1.134967
   0.907107,    1.134979
   0.907808,    1.134991
   0.908509,    1.135003
   0.909209,    1.135015
   0.909910,    1.135027
   0.910611,    1.135039
   0.911311,    1.135051
   0.912012,    1.135063
   0.912713,    1.135075
   0.913413,    1.135087
   0.914114,    1.135099
   0.914815,    1.135111
   0.915516,    1.135123
   0.916216,    1.135135
   0.916917,    1.135147
   0.917618,    1.135159
   0.918318,    1.135171
   0.919019,    1.135183
   0.919720,    1.135195
   0.920420,    1.135207
   0.921121,    1.135219
   0.921822,    1.135231
   0.922523,    1.135243
   0.923223,    1.135255
   0.923924,    1.135267
   0.924625,    1.135279
   0.925325,    1.135291
   0.926026,    1.135303
   0.926727,    1.135315
   0.927427,    1.135327
   0.928128,    1.135339
   0.928829,    1.135351
   0.929530,    1.135363
   0.930230,    1.135375
   0.930931,    1.135387
   0.931632,    1.135399
   0.932332,    1.135411
   0.933033,    1.135423
   0.933734,    1.135435
   0.934434,    1.135447
   0.935135,    1.135459
   0.935836,    1.135471
   0.936537,    1.135483
   0.937237,    1.135495
   0.937938,    1.135508
   0.938639,    1.135520
   0.939339,    1.135532
   0.940040,    1.135544
   0.940741,    1.135556
   0.941441,    1.135568
   0.942142,    1.135580
   0.942843,    1.135592
   0.943544,    1.135604
   0.944244,    1.135616
   0.944945,    1.135628
   0.945646,    1.135640
   0.946346,    1.135652
   0.947047,    1.135664
   0.947748,    1.135676
   0.948448,    1.135688
   0.949149,    1.135700
   0.949850,    1.135712
   0.950551,    1.135724
   0.951251,    1.135736
   0.951952,    1.135748
   0.952653,    1.135760
   0.953353,    1.135772
   0.954054,    1.135784
   0.954755,    1.135796
   0.955455,    1.135808
   0.956156,    1.135820
   0.956857,    1.135832
   0.957558,    1.135844
   0.958258,    1.135856
   0.958959,    1.135868
   0.959660,    1.135880
   0.960360,    1.135892
   0.961061,    1.135904
   0.961762,    1.135916
   0.962462,    1.135928
   0.963163,    1.135940
   0.963864,    1.135952
   0.964565,    1.135964
   0.965265,    1.135976
   0.965966,    1.135988
   0.966667,    1.136000
   0.967367,    1.136012
   0.968068,    1.136024
   0.968769,    1.136036
   0.969469,    1.136048
   0.970170,    1.136060
   0.970871,    1.136072
   0.971572,    1.136084
   0.972272,    1.136096
   0.972973,    1.136108
   0.973674,    1.136120
   0.974374,    1.136132
   0.975075,    1.136144
   0.975776,    1.136156
   0.976476,    1.136168
   0.977177,    1.136180
   0.977878,    1.136192
   0.978579,    1.136204
   0.979279,    1.136216
   0.979980,    1.136228
   0.980681,    1.136240
   0.981381,    1.136252
   0.982082,    1.136264
   0.982783,    1.136276
   0.983483,    1.136288
   0.984184,    1.136300
   0.984885,    1.136312
   0.985586,    1.136324
   0.986286,    1.136336
   0.986987,    1.136348
   0.987688,    1.136360
   0.988388,    1.136372
   0.989089,    1.136384
   0.989790,    1.136396
   0.990490,    1.136408
   0.991191,    1.136420
   0.991892,    1.136432
   0.992593,    1.136444
   0.993293,    1.136456
   0.993994,    1.136468
   0.994695,    1.136480
   0.995395,    1.136492
   0.996096,    1.136505
   0.996797,    1.136517
   0.997497,    1.136529
   0.998198,    1.136541
   0.998899,    1.136553
   0.999600,    1.136565
   1.000300,    1.136577
   1.001001,    1.136589
   1.001702,    1.136601
   1.002402,    1.136613
   1.003103,    1.136625
   1.003804,    1.136637
   1.004505,    1.136649
   1.005205,    1.136661
   1.005906,    1.136673
   1.006607,    1.136685
   1.007307,    1.136697
   1.008008,    1.136709
   1.008709,    1.136721
   1.009409,    1.136733
   1.010110,    1.136745
   1.010811,    1.136757
   1.011512,    1.136769
   1.012212,    1.136781
   1.012913,    1.136793
   1.013614,    1.136805
   1.014314,    1.136817
   1.015015,    1.136829
   1.015716,    1.136841
   1.016416,    1.136853
   1.017117,    1.136865
   1.017818,    1.136877
   1.018519,    1.136889
   1.019219,    1.136901
   1.019920,    1.136913
   1.020621,    1.136925
   1.021321,    1.136937
   1.022022,    1.136949
   1.022723,    1.136961
   1.023423,    1.136973
   1.024124,    1.136985
   1.024825,    1.136997
   1.025526,    1.136739
   1.026226,    1.136390
   1.026927,    1.136042
   1.027628,    1.135694
   1.028328,    1.135345
   1.029029,    1.134997
   1.029730,    1.134649
   1.030430,    1.134300
   1.031131,    1.133952
   1.031832,    1.133604
   1.032533,    1.133255
   1.033233,    1.132907
   1.033934,    1.132559
   1.034635,    1.132210
   1.035335,    1.131862
   1.036036,    1.131514
   1.036737,    1.131165
   1.037437,    1.130817
   1.038138,    1.130468
   1.038839,    1.130120
   1.039540,    1.129772
   1.040240,    1.129423
   1.040941,    1.129075
   1.041642,    1.128727
   1.042342,    1.128378
   1.043043,    1.128030
   1.043744,    1.127682
   1.044444,    1.127333
   1.045145,    1.126985
   1.045846,    1.126637
   1.046547,    1.126288
   1.047247,    1.125940
   1.047948,    1.125592
   1.048649,    1.125243
   1.049349,    1.124895
   1.050050,    1.124547
   1.050751,    1.124198
   1.051451,    1.123850
   1.052152,    1.123502
   1.052853,    1.123153
   1.053554,    1.122805
   1.054254,    1.122456
   1.054955,    1.122108
   1.055656,    1.121760
   1.056356,    1.121411
   1.057057,    1.121063
   1.057758,    1.120715
   1.058458,    1.120366
   1.059159,    1.120018
   1.059860,    1.119670
   1.060561,    1.119321
   1.061261,    1.118973
   1.061962,    1.118625
