Vfailure/VsTO, VRot/VsTO
   0.500000,    1.122000
   0.500701,    1.122012
   0.501401,    1.122024
   0.502102,    1.122036
   0.502803,    1.122048
   0.503504,    1.122060
   0.504204,    1.122072
   0.504905,    1.122084
   0.505606,    1.122096
   0.506306,    1.122108
   0.507007,    1.122120
   0.507708,    1.122132
   0.508408,    1.122144
   0.509109,    1.122156
   0.509810,    1.122168
   0.510511,    1.122180
   0.511211,    1.122192
   0.511912,    1.122204
   0.512613,    1.122216
   0.513313,    1.122228
   0.514014,    1.122240
   0.514715,    1.122252
   0.515415,    1.122264
   0.516116,    1.122276
   0.516817,    1.122288
   0.517518,    1.122300
   0.518218,    1.122312
   0.518919,    1.122324
   0.519620,    1.122336
   0.520320,    1.122348
   0.521021,    1.122360
   0.521722,    1.122372
   0.522422,    1.122384
   0.523123,    1.122396
   0.523824,    1.122408
   0.524525,    1.122420
   0.525225,    1.122432
   0.525926,    1.122444
   0.526627,    1.122456
   0.527327,    1.122468
   0.528028,    1.122480
   0.528729,    1.122492
   0.529429,    1.122505
   0.530130,    1.122517
   0.530831,    1.122529
   0.531532,    1.122541
   0.532232,    1.122553
   0.532933,    1.122565
   0.533634,    1.122577
   0.534334,    1.122589
   0.535035,    1.122601
   0.535736,    1.122613
   0.536436,    1.122625
   0.537137,    1.122637
   0.537838,    1.122649
   0.538539,    1.122661
   0.539239,    1.122673
   0.539940,    1.122685
   0.540641,    1.122697
   0.541341,    1.122709
   0.542042,    1.122721
   0.542743,    1.122733
   0.543443,    1.122745
   0.544144,    1.122757
   0.544845,    1.122769
   0.545546,    1.122781
   0.546246,    1.122793
   0.546947,    1.122805
   0.547648,    1.122817
   0.548348,    1.122829
   0.549049,    1.122841
   0.549750,    1.122853
   0.550450,    1.122865
   0.551151,    1.122877
   0.551852,    1.122889
   0.552553,    1.122901
   0.553253,    1.122913
   0.553954,    1.122925
   0.554655,    1.122937
   0.555355,    1.122949
   0.556056,    1.122961
   0.556757,    1.122973
   0.557457,    1.122985
   0.558158,    1.122997
   0.558859,    1.123009
   0.559560,    1.123021
   0.560260,    1.123033
   0.560961,    1.123045
   0.561662,    1.123057
   0.562362,    1.123069
   0.563063,    1.123081
   0.563764,    1.123093
   0.564464,    1.123105
   0.565165,    1.123117
   0.565866,    1.123129
   0.566567,    1.123141
   0.567267,    1.123153
   0.567968,    1.123165
   0.568669,    1.123177
   0.569369,    1.123189
   0.570070,    1.123201
   0.570771,    1.123213
   0.571471,    1.123225
   0.572172,    1.123237
   0.572873,    1.123249
   0.573574,    1.123261
   0.574274,    1.123273
   0.574975,    1.123285
   0.575676,    1.123297
   0.576376,    1.123309
   0.577077,    1.123321
   0.577778,    1.123333
   0.578478,    1.123345
   0.579179,    1.123357
   0.579880,    1.123369
   0.580581,    1.123381
   0.581281,    1.123393
   0.581982,    1.123405
   0.582683,    1.123417
   0.583383,    1.123429
   0.584084,    1.123441
   0.584785,    1.123453
   0.585485,    1.123465
   0.586186,    1.123477
   0.586887,    1.123489
   0.587588,    1.123502
   0.588288,    1.123514
   0.588989,    1.123526
   0.589690,    1.123538
   0.590390,    1.123550
   0.591091,    1.123562
   0.591792,    1.123574
   0.592492,    1.123586
   0.593193,    1.123598
   0.593894,    1.123610
   0.594595,    1.123622
   0.595295,    1.123634
   0.595996,    1.123646
   0.596697,    1.123658
   0.597397,    1.123670
   0.598098,    1.123682
   0.598799,    1.123694
   0.599499,    1.123706
   0.600200,    1.123718
   0.600901,    1.123730
   0.601602,    1.123742
   0.602302,    1.123754
   0.603003,    1.123766
   0.603704,    1.123778
   0.604404,    1.123790
   0.605105,    1.123802
   0.605806,    1.123814
   0.606507,    1.123826
   0.607207,    1.123838
   0.607908,    1.123850
   0.608609,    1.123862
   0.609309,    1.123874
   0.610010,    1.123886
   0.610711,    1.123898
   0.611411,    1.123910
   0.612112,    1.123922
   0.612813,    1.123934
   0.613514,    1.123946
   0.614214,    1.123958
   0.614915,    1.123970
   0.615616,    1.123982
   0.616316,    1.123994
   0.617017,    1.124006
   0.617718,    1.124018
   0.618418,    1.124030
   0.619119,    1.124042
   0.619820,    1.124054
   0.620521,    1.124066
   0.621221,    1.124078
   0.621922,    1.124090
   0.622623,    1.124102
   0.623323,    1.124114
   0.624024,    1.124126
   0.624725,    1.124138
   0.625425,    1.124150
   0.626126,    1.124162
   0.626827,    1.124174
   0.627528,    1.124186
   0.628228,    1.124198
   0.628929,    1.124210
   0.629630,    1.124222
   0.630330,    1.124234
   0.631031,    1.124246
   0.631732,    1.124258
   0.632432,    1.124270
   0.633133,    1.124282
   0.633834,    1.124294
   0.634535,    1.124306
   0.635235,    1.124318
   0.635936,    1.124330
   0.636637,    1.124342
   0.637337,    1.124354
   0.638038,    1.124366
   0.638739,    1.124378
   0.639439,    1.124390
   0.640140,    1.124402
   0.640841,    1.124414
   0.641542,    1.124426
   0.642242,    1.124438
   0.642943,    1.124450
   0.643644,    1.124462
   0.644344,    1.124474
   0.645045,    1.124486
   0.645746,    1.124498
   0.646446,    1.124511
   0.647147,    1.124523
   0.647848,    1.124535
   0.648549,    1.124547
   0.649249,    1.124559
   0.649950,    1.124571
   0.650651,    1.124583
   0.651351,    1.124595
   0.652052,    1.124607
   0.652753,    1.124619
   0.653453,    1.124631
   0.654154,    1.124643
   0.654855,    1.124655
   0.655556,    1.124667
   0.656256,    1.124679
   0.656957,    1.124691
   0.657658,    1.124703
   0.658358,    1.124715
   0.659059,    1.124727
   0.659760,    1.124739
   0.660460,    1.124751
   0.661161,    1.124763
   0.661862,    1.124775
   0.662563,    1.124787
   0.663263,    1.124799
   0.663964,    1.124811
   0.664665,    1.124823
   0.665365,    1.124835
   0.666066,    1.124847
   0.666767,    1.124859
   0.667467,    1.124871
   0.668168,    1.124883
   0.668869,    1.124895
   0.669570,    1.124907
   0.670270,    1.124919
   0.670971,    1.124931
   0.671672,    1.124943
   0.672372,    1.124955
   0.673073,    1.124967
   0.673774,    1.124979
   0.674474,    1.124991
   0.675175,    1.124996
   0.675876,    1.124980
   0.676577,    1.124964
   0.677277,    1.124948
   0.677978,    1.124932
   0.678679,    1.124916
   0.679379,    1.124900
   0.680080,    1.124884
   0.680781,    1.124868
   0.681481,    1.124852
   0.682182,    1.124836
   0.682883,    1.124820
   0.683584,    1.124804
   0.684284,    1.124788
   0.684985,    1.124772
   0.685686,    1.124756
   0.686386,    1.124740
   0.687087,    1.124724
   0.687788,    1.124708
   0.688488,    1.124692
   0.689189,    1.124676
   0.689890,    1.124660
   0.690591,    1.124644
   0.691291,    1.124628
   0.691992,    1.124612
   0.692693,    1.124596
   0.693393,    1.124580
   0.694094,    1.124564
   0.694795,    1.124548
   0.695495,    1.124532
   0.696196,    1.124516
   0.696897,    1.124499
   0.697598,    1.124483
   0.698298,    1.124467
   0.698999,    1.124451
   0.699700,    1.124435
   0.700400,    1.124419
   0.701101,    1.124403
   0.701802,    1.124387
   0.702503,    1.124371
   0.703203,    1.124355
   0.703904,    1.124339
   0.704605,    1.124323
   0.705305,    1.124307
   0.706006,    1.124291
   0.706707,    1.124275
   0.707407,    1.124259
   0.708108,    1.124243
   0.708809,    1.124227
   0.709510,    1.124211
   0.710210,    1.124195
   0.710911,    1.124179
   0.711612,    1.124163
   0.712312,    1.124147
   0.713013,    1.124131
   0.713714,    1.124115
   0.714414,    1.124099
   0.715115,    1.124083
   0.715816,    1.124067
   0.716517,    1.124051
   0.717217,    1.124035
   0.717918,    1.124019
   0.718619,    1.124003
   0.719319,    1.123987
   0.720020,    1.123971
   0.720721,    1.123955
   0.721421,    1.123939
   0.722122,    1.123923
   0.722823,    1.123907
   0.723524,    1.123891
   0.724224,    1.123875
   0.724925,    1.123859
   0.725626,    1.123843
   0.726326,    1.123827
   0.727027,    1.123811
   0.727728,    1.123795
   0.728428,    1.123779
   0.729129,    1.123763
   0.729830,    1.123747
   0.730531,    1.123731
   0.731231,    1.123715
   0.731932,    1.123699
   0.732633,    1.123683
   0.733333,    1.123667
   0.734034,    1.123651
   0.734735,    1.123635
   0.735435,    1.123619
   0.736136,    1.123603
   0.736837,    1.123587
   0.737538,    1.123571
   0.738238,    1.123555
   0.738939,    1.123539
   0.739640,    1.123523
   0.740340,    1.123507
   0.741041,    1.123490
   0.741742,    1.123474
   0.742442,    1.123458
   0.743143,    1.123442
   0.743844,    1.123426
   0.744545,    1.123410
   0.745245,    1.123394
   0.745946,    1.123378
   0.746647,    1.123362
   0.747347,    1.123346
   0.748048,    1.123330
   0.748749,    1.123314
   0.749449,    1.123298
   0.750150,    1.123282
   0.750851,    1.123266
   0.751552,    1.123250
   0.752252,    1.123234
   0.752953,    1.123218
   0.753654,    1.123202
   0.754354,    1.123186
   0.755055,    1.123170
   0.755756,    1.123154
   0.756456,    1.123138
   0.757157,    1.123122
   0.757858,    1.123106
   0.758559,    1.123090
   0.759259,    1.123074
   0.759960,    1.123058
   0.760661,    1.123042
   0.761361,    1.123026
   0.762062,    1.123010
   0.762763,    1.122994
   0.763463,    1.122978
   0.764164,    1.122962
   0.764865,    1.122946
   0.765566,    1.122930
   0.766266,    1.122914
   0.766967,    1.122898
   0.767668,    1.122882
   0.768368,    1.122866
   0.769069,    1.122850
   0.769770,    1.122834
   0.770470,    1.122818
   0.771171,    1.122802
   0.771872,    1.122786
