alpha_w, CL
  -2.000000,    0.190615
  -1.794872,    0.213139
  -1.589744,    0.235663
  -1.384615,    0.258187
  -1.179487,    0.280711
  -0.974359,    0.303235
  -0.769231,    0.325759
  -0.564103,    0.348283
  -0.358974,    0.370807
  -0.153846,    0.393331
   0.051282,    0.415855
   0.256410,    0.438379
   0.461538,    0.460903
   0.666667,    0.483427
   0.871795,    0.505951
   1.076923,    0.528475
   1.282051,    0.550999
   1.487179,    0.573523
   1.692308,    0.596047
   1.897436,    0.618571
   2.102564,    0.641095
   2.307692,    0.663618
   2.512821,    0.686142
   2.717949,    0.708666
   2.923077,    0.731190
   3.128205,    0.753714
   3.333333,    0.776238
   3.538462,    0.798762
   3.743590,    0.821286
   3.948718,    0.843810
   4.153846,    0.866334
   4.358974,    0.888858
   4.564103,    0.911382
   4.769231,    0.933906
   4.974359,    0.956430
   5.179487,    0.978954
   5.384615,    1.001478
   5.589744,    1.024002
   5.794872,    1.046526
   6.000000,    1.069050
