CL_e, CD_e
   0.022259,   -0.117261
   0.021353,   -0.061361
   0.020794,   -0.005411
   0.020520,    0.050590
   0.020547,    0.106640
   0.020868,    0.162742
   0.021491,    0.218895
   0.022414,    0.275099
   0.023647,    0.331355
   0.025191,    0.387767
   0.027040,    0.444120
   0.029207,    0.500525
   0.031686,    0.556982
   0.034484,    0.613493
   0.037591,    0.670058
   0.041017,    0.726676
   0.044758,    0.783350
   0.048817,    0.840078
   0.053200,    0.896862
   0.057908,    0.953702
   0.062945,    1.010598
   0.068307,    1.067550
   0.074013,    1.124559
   0.080050,    1.181626
   0.086431,    1.238750
   0.093129,    1.289143
