CL_e, CD_e
   0.022259,   -0.127282
   0.021353,   -0.066638
   0.020794,   -0.005938
   0.020520,    0.054821
   0.020547,    0.115635
   0.020868,    0.176506
   0.021491,    0.237433
   0.022414,    0.298417
   0.023641,    0.359458
   0.025175,    0.420668
   0.027014,    0.481813
   0.029171,    0.543013
   0.031639,    0.604270
   0.034428,    0.665583
   0.037525,    0.726952
   0.040941,    0.788378
   0.044673,    0.849860
   0.048722,    0.911399
   0.053093,    0.972995
   0.057782,    1.034648
   0.062801,    1.096358
   0.068144,    1.158125
   0.073831,    1.219948
   0.079848,    1.281829
   0.086210,    1.343767
   0.092885,    1.398402
