eta, gamma
   0.000000,  561.227951
   0.020408,  561.089390
   0.040816,  560.602321
   0.061224,  559.680730
   0.081633,  558.302248
   0.102041,  556.465114
   0.122449,  554.177918
   0.142857,  551.454710
   0.163265,  548.312212
   0.183673,  544.768177
   0.204082,  540.840454
   0.224490,  536.546541
   0.244898,  531.903537
   0.265306,  526.928611
   0.285714,  521.641872
   0.306122,  516.058346
   0.326531,  510.179494
   0.346939,  504.026275
   0.367347,  497.617409
   0.387755,  490.967545
   0.408163,  484.089316
   0.428571,  476.993692
   0.448980,  469.690074
   0.469388,  462.186333
   0.489796,  454.488791
   0.510204,  446.600360
   0.530612,  438.524143
   0.551020,  430.263159
   0.571429,  421.816588
   0.591837,  413.181373
   0.612245,  404.351880
   0.632653,  395.319446
   0.653061,  386.071778
   0.673469,  376.592147
   0.693878,  366.858317
   0.714286,  356.841092
   0.734694,  346.502330
   0.755102,  335.792192
   0.775510,  324.645259
   0.795918,  312.974960
   0.816327,  300.665347
   0.836735,  287.558648
   0.857143,  273.435730
   0.877551,  257.984079
   0.897959,  240.742246
   0.918367,  220.995728
   0.938776,  197.558489
   0.959184,  168.223329
   0.979592,  127.824775
   1.000000,    0.000000
