eta, gamma
   0.000000,  242.202369
   0.020408,  242.136245
   0.040816,  241.907096
   0.061224,  241.477689
   0.081633,  240.837990
   0.102041,  239.986631
   0.122449,  238.926472
   0.142857,  237.662445
   0.163265,  236.200298
   0.183673,  234.545787
   0.204082,  232.704132
   0.224490,  230.679607
   0.244898,  228.475131
   0.265306,  226.091722
   0.285714,  223.527867
   0.306122,  220.766926
   0.326531,  217.788052
   0.346939,  214.630597
   0.367347,  211.323861
   0.387755,  207.885605
   0.408163,  204.329485
   0.428571,  200.666715
   0.448980,  196.906750
   0.469388,  193.057646
   0.489796,  189.126259
   0.510204,  185.117672
   0.530612,  181.036774
   0.551020,  176.888058
   0.571429,  172.674281
   0.591837,  168.397163
   0.612245,  164.057298
   0.632653,  159.654023
   0.653061,  155.185224
   0.673469,  150.647069
   0.693878,  146.033640
   0.714286,  141.336431
   0.734694,  136.543648
   0.755102,  131.639236
   0.775510,  126.601500
   0.795918,  121.401114
   0.816327,  115.998181
   0.836735,  110.337771
   0.857143,  104.342900
   0.877551,   97.903010
   0.897959,   90.853947
   0.918367,   82.940353
   0.938776,   73.736610
   0.959184,   62.447469
   0.979592,   47.203574
   1.000000,    0.000000
