eta, gamma
   0.000000,  162.445974
   0.020408,  162.397959
   0.040816,  162.233289
   0.061224,  161.926929
   0.081633,  161.471926
   0.102041,  160.867011
   0.122449,  160.113610
   0.142857,  159.214379
   0.163265,  158.172320
   0.183673,  156.990189
   0.204082,  155.670052
   0.224490,  154.212874
   0.244898,  152.618029
   0.265306,  150.882500
   0.285714,  148.999366
   0.306122,  146.944071
   0.326531,  144.690191
   0.346939,  142.281678
   0.367347,  139.750474
   0.387755,  137.115120
   0.408163,  134.389527
   0.428571,  131.584971
   0.448980,  128.710919
   0.469388,  125.775474
   0.489796,  122.785626
   0.510204,  119.747001
   0.530612,  116.664931
   0.551020,  113.544282
   0.571429,  110.388704
   0.591837,  107.201110
   0.612245,  103.983653
   0.632653,  100.737668
   0.653061,   97.463586
   0.673469,   94.160799
   0.693878,   90.827471
   0.714286,   87.460266
   0.734694,   84.053978
   0.755102,   80.600997
   0.775510,   77.090560
   0.795918,   73.507653
   0.816327,   69.831390
   0.836735,   66.032552
   0.857143,   62.069692
   0.877551,   57.882743
   0.897959,   53.381872
   0.918367,   48.426509
   0.938776,   42.781140
   0.959184,   36.003505
   0.979592,   27.048274
   1.000000,    0.000000
