alpha body, CL_e
 -10.000000,    0.148973
  -9.090909,    0.230405
  -8.181818,    0.312082
  -7.272727,    0.394001
  -6.363636,    0.476162
  -5.454545,    0.558563
  -4.545455,    0.641203
  -3.636364,    0.724083
  -2.727273,    0.807203
  -1.818182,    0.891773
  -0.909091,    0.974375
  -0.000000,    1.057216
   0.909091,    1.140298
   1.818182,    1.223621
   2.727273,    1.307187
   3.636364,    1.390996
   4.545455,    1.475049
   5.454545,    1.559349
   6.363636,    1.643897
   7.272727,    1.728694
   8.181818,    1.813742
   9.090909,    1.899043
  10.000000,    1.984600
  10.909091,    2.070407
  11.818182,    2.155246
  12.727273,    2.235729
  13.636364,    2.308794
  14.545455,    2.372041
